Traffic_registration_point,Name,Road_reference,From,To,Traffic_volume,Confidence_interval_start,Confidence_interval_end,Coverage (%),Total_days,Included_days,Invalid_days,Invalid_length,Length_quality_grade (%),Lane,under_5_6m,over_5_6m,5_6m_to_7_6m,7_6m_to_12_5m,12_5m_to_16_0m,over_16_0m,16_0m_to_24_0m,over_24_0m,Year,Month,Day_of_Week,Light_Vehicles,Heavy_Vehicles,Traffic_Volume_Check,Traffic_Volume_Difference,Days_Check,Traffic_Volume_Outlier,YearMonth,Monthly_Traffic_Volume,Daily_Mean_Traffic_Volume,Percent_Light_Vehicles,Percent_Heavy_Vehicles,Percent_5_6m_to_7_6m,Percent_7_6m_to_12_5m,Percent_12_5m_to_16_0m,Percent_16_0m_to_24_0m,Percent_Over_24_0m,Confidence_Interval,Traffic_Quality_Grade,is_weekend,season,heavy_vehicle_ratio,traffic_volume_category,traffic_quality_category,date,day_type
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-01-31 23:00:00,2020-02-29 23:00:00,5148,5148,5148,100.0,29,29,0,9,99.8,1,4634,505,234,78,6,186,186,0,2020,1,Friday,4634,1195,5829,-681,0,False,2020-01,33384,6676.8,2.093401767465481,0.5040287612062279,0.10066699690436842,0.036839541940881904,0.004578926116945773,0.07305468486581665,0.00020813300531571694,6676.8,99.67999999999999,0,Winter,0.23212898212898214,Medium,Good,2020-01-31,Workday
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-01-31 23:00:00,2020-02-29 23:00:00,5980,5980,5980,100.0,29,29,0,27,99.5,2,5424,530,249,99,16,166,165,1,2020,1,Friday,5424,1226,6650,-670,0,False,2020-01,33384,6676.8,2.093401767465481,0.5040287612062279,0.10066699690436842,0.036839541940881904,0.004578926116945773,0.07305468486581665,0.00020813300531571694,6676.8,99.67999999999999,0,Winter,0.20501672240802676,High,Good,2020-01-31,Workday
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-01-31 23:00:00,2020-02-29 23:00:00,5796,5796,5796,100.0,29,29,0,26,99.6,Totalt i retning Hausmannsgate,5278,492,243,91,14,144,143,1,2020,1,Friday,5278,1128,6406,-610,0,False,2020-01,33384,6676.8,2.093401767465481,0.5040287612062279,0.10066699690436842,0.036839541940881904,0.004578926116945773,0.07305468486581665,0.00020813300531571694,6676.8,99.67999999999999,0,Winter,0.19461697722567287,High,Good,2020-01-31,Workday
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-01-31 23:00:00,2020-02-29 23:00:00,5332,5332,5332,100.0,29,29,0,9,99.8,Totalt i retning Waldemar Tranes Gt.,4780,543,241,86,8,208,208,0,2020,1,Friday,4780,1294,6074,-742,0,False,2020-01,33384,6676.8,2.093401767465481,0.5040287612062279,0.10066699690436842,0.036839541940881904,0.004578926116945773,0.07305468486581665,0.00020813300531571694,6676.8,99.67999999999999,0,Winter,0.24268567141785446,Medium,Good,2020-01-31,Workday
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-01-31 23:00:00,2020-02-29 23:00:00,11128,11128,11128,100.0,29,29,0,35,99.7,Totalt,10058,1035,484,177,22,352,351,1,2020,1,Friday,10058,2422,12480,-1352,0,True,2020-01,33384,6676.8,2.093401767465481,0.5040287612062279,0.10066699690436842,0.036839541940881904,0.004578926116945773,0.07305468486581665,0.00020813300531571694,6676.8,99.67999999999999,0,Winter,0.2176491732566499,High,Good,2020-01-31,Workday
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-02-29 23:00:00,2020-03-31 22:00:00,3937,3937,3937,100.0,31,31,0,2,99.9,1,3462,472,211,68,3,190,190,0,2020,2,Saturday,3462,1134,4596,-659,0,False,2020-02,24588,4917.6,1.5144451243455952,0.4503998235032115,0.08679146321665397,0.029971152765463242,0.002844484405981465,0.07034895579671233,0.0,4917.6,99.9,1,Winter,0.28803657607315214,Low,Good,2020-02-29,Weekend
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-02-29 23:00:00,2020-03-31 22:00:00,4259,4259,4259,100.0,31,31,0,4,99.9,2,3814,441,206,76,10,148,148,0,2020,2,Saturday,3814,1029,4843,-584,0,False,2020-02,24588,4917.6,1.5144451243455952,0.4503998235032115,0.08679146321665397,0.029971152765463242,0.002844484405981465,0.07034895579671233,0.0,4917.6,99.9,1,Winter,0.24160601080065744,Low,Good,2020-02-29,Weekend
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-02-29 23:00:00,2020-03-31 22:00:00,4240,4240,4240,100.0,31,31,0,4,99.9,Totalt i retning Hausmannsgate,3810,427,205,72,10,140,140,0,2020,2,Saturday,3810,994,4804,-564,0,False,2020-02,24588,4917.6,1.5144451243455952,0.4503998235032115,0.08679146321665397,0.029971152765463242,0.002844484405981465,0.07034895579671233,0.0,4917.6,99.9,1,Winter,0.23443396226415095,Low,Good,2020-02-29,Weekend
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-02-29 23:00:00,2020-03-31 22:00:00,3956,3956,3956,100.0,31,31,0,3,99.9,Totalt i retning Waldemar Tranes Gt.,3467,487,212,72,4,198,198,0,2020,2,Saturday,3467,1171,4638,-682,0,False,2020-02,24588,4917.6,1.5144451243455952,0.4503998235032115,0.08679146321665397,0.029971152765463242,0.002844484405981465,0.07034895579671233,0.0,4917.6,99.9,1,Winter,0.2960060667340748,Low,Good,2020-02-29,Weekend
62991V604777,Maridalsveien,KV14622 S9D1 m425,2020-02-29 23:00:00,2020-03-31 22:00:00,8196,8196,8196,100.0,31,31,0,6,99.9,Totalt,7276,913,417,144,14,338,338,0,2020,2,Saturday,7276,2164,9440,-1244,0,False,2020-02,24588,4917.6,1.5144451243455952,0.4503998235032115,0.08679146321665397,0.029971152765463242,0.002844484405981465,0.07034895579671233,0.0,4917.6,99.9,1,Winter,0.26403123474865786,High,Good,2020-02-29,Weekend
